date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:13	39795/39795	---M-Z	200	added ('OK')	text/css	etag:%229b73-64327b78-9935840260228f70;gz%22	https://wpriverthemes.com/drake/wp-content/themes/drake/assets/css/unit-test.css?ver=6.2	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-content/themes/drake/assets/css/unit-testae48.css	(from https://wpriverthemes.com/drake/)
12:08:14	7986/7986	---M-Z	200	added ('OK')	text/css	etag:%221f32-64327b78-cd0ee6be5f52be55;gz%22	https://wpriverthemes.com/drake/wp-content/themes/drake/assets/css/responsive.css?ver=6.2	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-content/themes/drake/assets/css/responsiveae48.css	(from https://wpriverthemes.com/drake/)
12:08:15	1881/1881	---MC-	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2007:08:15%20GMT	http://fonts.googleapis.com/css?family=Inter%3A100%2C200%2C300%2C400%2C500%2C600%2C700%2C800%2C900%26subset%3Dlatin%2Clatin-ext&ver=1.0.0	/home/kashif/websites/testing/fonts.googleapis.com/css1792.css	(from https://wpriverthemes.com/drake/)
12:08:16	19363/19363	---M-Z	200	added ('OK')	text/css	etag:%224ba3-642c133a-ee62f8fb6b4ca62e;gz%22	https://wpriverthemes.com/drake/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from https://wpriverthemes.com/drake/)
12:08:17	81413/81413	---M-Z	200	added ('OK')	text/css	etag:%2213e05-642c1339-c0b7946acef11db3;gz%22	https://wpriverthemes.com/drake/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.1	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-content/plugins/elementor/assets/css/frontend-lite.minfb6f.css	(from https://wpriverthemes.com/drake/)
12:08:18	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-642c133b-f43263c1d7771b13;gz%22	https://wpriverthemes.com/drake/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://wpriverthemes.com/drake/)
12:08:19	1100/1100	---M-Z	200	added ('OK')	text/css	etag:%2244c-642c138e-8bcccfcd3c46c6af;gz%22	https://wpriverthemes.com/drake/wp-content/uploads/elementor/css/post-10.css?ver=1680610190	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-content/uploads/elementor/css/post-10bb20.css	(from https://wpriverthemes.com/drake/)
12:08:20	9475/9475	---M-Z	200	added ('OK')	text/css	etag:%222503-642c138f-365890684e631f95;gz%22	https://wpriverthemes.com/drake/wp-content/uploads/elementor/css/global.css?ver=1680610191	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-content/uploads/elementor/css/global8f19.css	(from https://wpriverthemes.com/drake/)
12:08:22	4553/4553	---MC-	200	added ('OK')	text/css	date:Mon,%2024%20Apr%202023%2007:08:21%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=swap&ver=6.2	/home/kashif/websites/testing/fonts.googleapis.com/cssd847.css	(from https://wpriverthemes.com/drake/)
12:08:22	89815/89815	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215ed7-6429871b-f4f5b5acdf143cb0;gz%22	https://wpriverthemes.com/drake/wp-includes/js/jquery/jquery.min.js?ver=3.6.3	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-includes/js/jquery/jquery.mina767.js	(from https://wpriverthemes.com/drake/)
12:08:23	13424/13424	---M-Z	200	added ('OK')	application/x-javascript	etag:%223470-6429871b-3be9294dee38dcb1;gz%22	https://wpriverthemes.com/drake/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://wpriverthemes.com/drake/)
12:08:24	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2007:08:23%20GMT	https://fonts.gstatic.com/	/home/kashif/websites/testing/fonts.gstatic.com/index.html	(from https://wpriverthemes.com/drake/)
12:08:25	51157/51157	---MCZ	200	added ('OK')	application/json	date:Mon,%2024%20Apr%202023%2007:08:24%20GMT	https://wpriverthemes.com/drake/wp-json/wp/v2/pages/8	/home/kashif/websites/testing/wpriverthemes.com/drake/wp-json/wp/v2/pages/8.json	(from https://wpriverthemes.com/drake/)
